期別,發票號碼,月份,類別,買受人統編,銷售額未稅,稅額,含稅金額,備註
11504,DQ57467700,7月,B2C,,257,13,270,B2C含稅換算
11504,DQ57467701,7月,B2C,,305,15,320,B2C含稅換算
11504,DQ57467702,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467703,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467704,7月,B2C,,286,14,300,B2C含稅換算
11504,DQ57467705,7月,B2C,,162,8,170,B2C含稅換算
11504,DQ57467706,7月,B2C,,205,10,215,B2C含稅換算
11504,DQ57467707,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467708,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467709,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467710,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467711,7月,B2C,,114,6,120,B2C含稅換算
11504,DQ57467712,7月,B2C,,186,9,195,B2C含稅換算
11504,DQ57467713,7月,B2C,,48,2,50,B2C含稅換算
11504,DQ57467714,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467715,7月,B2C,,48,2,50,B2C含稅換算
11504,DQ57467716,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467717,7月,B2C,,95,5,100,B2C含稅換算
11504,DQ57467718,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467719,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467720,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467721,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467722,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467723,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467724,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467725,7月,B2C,,48,2,50,B2C含稅換算
11504,DQ57467726,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467727,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467728,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467729,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467730,7月,B2C,,467,23,490,B2C含稅換算
11504,DQ57467731,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467732,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467733,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467734,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467735,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467736,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467737,7月,B2C,,267,13,280,B2C含稅換算
11504,DQ57467738,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467739,7月,B2C,,295,15,310,B2C含稅換算
11504,DQ57467740,7月,B2C,,195,10,205,B2C含稅換算
11504,DQ57467741,7月,B2C,,410,20,430,B2C含稅換算
11504,DQ57467742,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467743,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467744,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467745,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467746,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467747,7月,B2C,,267,13,280,B2C含稅換算
11504,DQ57467748,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467749,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467750,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467751,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467752,7月,B2C,,114,6,120,B2C含稅換算
11504,DQ57467753,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467754,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467755,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467756,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467757,7月,B2C,,195,10,205,B2C含稅換算
11504,DQ57467758,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467759,7月,B2C,,48,2,50,B2C含稅換算
11504,DQ57467760,7月,B2C,,267,13,280,B2C含稅換算
11504,DQ57467761,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467762,7月,B2C,,238,12,250,B2C含稅換算
11504,DQ57467763,7月,B2B,24962879,38,2,40,
11504,DQ57467764,7月,B2C,,248,12,260,B2C含稅換算
11504,DQ57467765,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467766,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467767,7月,B2C,,305,15,320,B2C含稅換算
11504,DQ57467768,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467769,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467770,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467771,7月,B2C,,267,13,280,B2C含稅換算
11504,DQ57467772,7月,B2C,,257,13,270,B2C含稅換算
11504,DQ57467773,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467774,7月,B2C,,248,12,260,B2C含稅換算
11504,DQ57467775,7月,B2C,,95,5,100,B2C含稅換算
11504,DQ57467776,7月,B2C,,295,15,310,B2C含稅換算
11504,DQ57467777,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467778,7月,B2C,,295,15,310,B2C含稅換算
11504,DQ57467779,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467780,7月,B2C,,314,16,330,B2C含稅換算
11504,DQ57467781,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467782,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467783,7月,B2C,,286,14,300,B2C含稅換算
11504,DQ57467784,7月,B2C,,205,10,215,B2C含稅換算
11504,DQ57467785,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467786,7月,B2C,,267,13,280,B2C含稅換算
11504,DQ57467787,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467788,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467789,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467790,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467791,7月,B2C,,195,10,205,B2C含稅換算
11504,DQ57467792,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467793,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467794,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467795,7月,B2C,,876,44,920,B2C含稅換算
11504,DQ57467796,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467797,7月,B2C,,267,13,280,B2C含稅換算
11504,DQ57467798,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467799,7月,作廢,,0,0,0,
11504,DQ57467800,7月,B2C,,214,11,225,B2C含稅換算
11504,DQ57467801,7月,作廢,,0,0,0,
11504,DQ57467802,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467803,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467804,7月,B2C,,286,14,300,B2C含稅換算
11504,DQ57467805,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467806,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467807,7月,B2C,,352,18,370,B2C含稅換算
11504,DQ57467808,7月,B2C,,286,14,300,B2C含稅換算
11504,DQ57467809,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467810,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467811,7月,B2B,70789634,152,8,160,
11504,DQ57467812,7月,B2C,,248,12,260,B2C含稅換算
11504,DQ57467813,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467814,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467815,7月,B2C,,286,14,300,B2C含稅換算
11504,DQ57467816,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467817,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467818,7月,B2C,,248,12,260,B2C含稅換算
11504,DQ57467819,7月,B2C,,276,14,290,B2C含稅換算
11504,DQ57467820,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467821,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467822,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467823,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467824,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467825,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467826,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467827,7月,B2C,,267,13,280,B2C含稅換算
11504,DQ57467828,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467829,7月,B2C,,286,14,300,B2C含稅換算
11504,DQ57467830,7月,B2C,,190,10,200,B2C含稅換算
11504,DQ57467831,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467832,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467833,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467834,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467835,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467836,7月,B2C,,448,22,470,B2C含稅換算
11504,DQ57467837,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467838,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467839,7月,B2C,,390,20,410,B2C含稅換算
11504,DQ57467840,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467841,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467842,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467843,7月,B2C,,419,21,440,B2C含稅換算
11504,DQ57467844,7月,B2C,,286,14,300,B2C含稅換算
11504,DQ57467845,7月,B2C,,295,15,310,B2C含稅換算
11504,DQ57467846,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467847,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467848,7月,B2C,,195,10,205,B2C含稅換算
11504,DQ57467849,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467850,7月,B2C,,505,25,530,B2C含稅換算
11504,DQ57467851,7月,B2C,,95,5,100,B2C含稅換算
11504,DQ57467852,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467853,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467854,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467855,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467856,7月,B2B,54839497,38,2,40,
11504,DQ57467857,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467858,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467859,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467860,7月,B2C,,533,27,560,B2C含稅換算
11504,DQ57467861,7月,B2C,,362,18,380,B2C含稅換算
11504,DQ57467862,7月,B2B,16354751,143,7,150,
11504,DQ57467863,7月,B2C,,2286,114,2400,B2C含稅換算
11504,DQ57467864,7月,B2C,,114,6,120,B2C含稅換算
11504,DQ57467865,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467866,7月,B2C,,162,8,170,B2C含稅換算
11504,DQ57467867,7月,B2C,,743,37,780,B2C含稅換算
11504,DQ57467868,7月,B2C,,429,21,450,B2C含稅換算
11504,DQ57467869,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467870,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467871,7月,B2C,,514,26,540,B2C含稅換算
11504,DQ57467872,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467873,7月,B2C,,257,13,270,B2C含稅換算
11504,DQ57467874,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467875,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467876,7月,B2C,,2286,114,2400,B2C含稅換算
11504,DQ57467877,7月,作廢,,0,0,0,
11504,DQ57467878,7月,B2B,87786870,390,20,410,
11504,DQ57467879,7月,B2C,,467,23,490,B2C含稅換算
11504,DQ57467880,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467881,7月,B2C,,448,22,470,B2C含稅換算
11504,DQ57467882,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467883,7月,B2C,,95,5,100,B2C含稅換算
11504,DQ57467884,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467885,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467886,7月,B2B,51811609,38,2,40,
11504,DQ57467887,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467888,7月,B2C,,24,1,25,B2C含稅換算
11504,DQ57467889,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467890,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467891,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467892,7月,B2C,,405,20,425,B2C含稅換算
11504,DQ57467893,7月,B2C,,48,2,50,B2C含稅換算
11504,DQ57467894,7月,B2C,,581,29,610,B2C含稅換算
11504,DQ57467895,7月,B2C,,162,8,170,B2C含稅換算
11504,DQ57467896,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467897,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467898,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467899,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467900,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467901,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467902,7月,B2C,,381,19,400,B2C含稅換算
11504,DQ57467903,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467904,7月,B2C,,333,17,350,B2C含稅換算
11504,DQ57467905,7月,B2C,,62,3,65,B2C含稅換算
11504,DQ57467906,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467907,7月,B2C,,276,14,290,B2C含稅換算
11504,DQ57467908,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467909,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467910,7月,B2C,,71,4,75,B2C含稅換算
11504,DQ57467911,7月,B2C,,190,10,200,B2C含稅換算
11504,DQ57467912,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467913,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467914,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467915,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467916,7月,B2C,,571,29,600,B2C含稅換算
11504,DQ57467917,7月,B2C,,295,15,310,B2C含稅換算
11504,DQ57467918,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467919,7月,B2C,,152,8,160,B2C含稅換算
11504,DQ57467920,7月,B2C,,133,7,140,B2C含稅換算
11504,DQ57467921,7月,B2C,,95,5,100,B2C含稅換算
11504,DQ57467922,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467923,7月,B2C,,295,15,310,B2C含稅換算
11504,DQ57467924,7月,B2C,,295,15,310,B2C含稅換算
11504,DQ57467925,7月,B2C,,143,7,150,B2C含稅換算
11504,DQ57467926,7月,B2C,,190,10,200,B2C含稅換算
11504,DQ57467927,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467928,7月,B2C,,124,6,130,B2C含稅換算
11504,DQ57467929,7月,B2C,,38,2,40,B2C含稅換算
11504,DQ57467930,7月,B2C,,171,9,180,B2C含稅換算
11504,DQ57467931,7月,B2C,,124,6,130,B2C含稅換算
